구별,강간 검거,강간,강도 검거,강도,살인 검거,살인,절도 검거,절도,폭력 검거,폭력,강도검거율,강간검거율,살인검거율,절도검거율,폭력검거율
강남구,349,449,18,21,10,13,1650,3850,3705,4284,85.71428571428571,77.728285077951,76.92307692307693,42.857142857142854,86.48459383753502
강동구,123,156,8,6,3,4,789,2366,2248,2712,100.0,78.84615384615384,75.0,33.34742180896027,82.89085545722715
강북구,126,153,13,14,8,7,618,1434,2348,2649,92.85714285714286,82.35294117647058,100.0,43.09623430962343,88.63722159305398
강서구,191,262,13,13,8,7,1260,2096,2718,3207,100.0,72.90076335877863,100.0,60.1145038167939,84.75210477081384
관악구,221,320,14,12,8,9,827,2706,2642,3298,100.0,69.0625,88.88888888888889,30.56171470805617,80.10915706488781
광진구,220,240,26,14,4,4,1277,3026,2180,2625,100.0,91.66666666666666,100.0,42.2009253139458,83.04761904761905
구로구,164,281,11,15,6,8,889,2335,2432,3007,73.33333333333333,58.362989323843415,75.0,38.07280513918629,80.87795144662454
금천구,122,151,6,6,4,3,888,1567,1776,2054,100.0,80.79470198675497,100.0,56.66879387364391,86.46543330087634
노원구,121,197,7,7,10,10,801,2193,2329,2723,100.0,61.42131979695431,100.0,36.52530779753762,85.53066470804261
도봉구,106,102,10,9,3,3,478,1063,1303,1487,100.0,100.0,100.0,44.96707431796801,87.62609280430397
동대문구,146,173,13,13,5,5,814,1981,2227,2548,100.0,84.39306358381504,100.0,41.090358404846036,87.40188383045526
동작구,139,285,5,9,5,5,661,1865,1587,1910,55.55555555555556,48.771929824561404,100.0,35.442359249329755,83.0890052356021
마포구,247,294,10,14,8,8,813,2555,2519,2983,71.42857142857143,84.01360544217688,100.0,31.81996086105675,84.44518940663761
서대문구,124,154,4,5,2,2,738,1812,1711,2056,80.0,80.51948051948052,100.0,40.728476821192054,83.21984435797665
서초구,249,393,6,9,6,8,1091,2635,2098,2399,66.66666666666666,63.358778625954194,75.0,41.40417457305503,87.45310546060858
성동구,119,126,8,9,4,4,597,1607,1395,1612,88.88888888888889,94.44444444444444,100.0,37.14996888612321,86.53846153846155
성북구,124,150,4,5,5,5,741,1785,1855,2209,80.0,82.66666666666667,100.0,41.51260504201681,83.97464916251698
송파구,178,220,10,13,10,11,1129,3239,2786,3295,76.92307692307693,80.9090909090909,90.9090909090909,34.85643717196666,84.55235204855842
양천구,105,120,3,6,5,3,672,1890,2030,2509,50.0,87.5,100.0,35.55555555555556,80.90872857712236
영등포구,183,295,20,22,12,14,978,2964,2961,3572,90.9090909090909,62.03389830508475,85.71428571428571,32.99595141700405,82.89473684210526
용산구,173,194,14,14,5,5,587,1557,1704,2050,100.0,89.17525773195877,100.0,37.70070648683366,83.1219512195122
은평구,141,166,6,9,3,3,711,1914,2306,2653,66.66666666666666,84.93975903614458,100.0,37.14733542319749,86.92046739540143
종로구,161,211,9,11,5,6,837,2184,1931,2293,81.81818181818183,76.30331753554502,83.33333333333334,38.324175824175825,84.21282163105103
중구,111,170,6,9,2,3,859,2548,1964,2224,66.66666666666666,65.29411764705883,66.66666666666666,33.712715855573,88.3093525179856
중랑구,148,187,9,11,12,13,829,2135,2407,2847,81.81818181818183,79.14438502673798,92.3076923076923,38.82903981264637,84.54513523006673
